Id,Designator,Package,Quantity,Designation,Supplier and ref
1,"+5V,C2CK,C2D,D+,D-,GND,GND,RX,TX",Prog_Pad,9,debug-pin,
2,U4,DFN-8-1EP_3x3mm_Pitch0.5mm,1,ATECC508A,
3,P1,TouchPad,1,TouchPAD,
4,J1,USB-A-PLUG,1,USB_Plug,
5,"C1,C2",C_0402,2,0.1uF,
6,U2,SOT-23-6,1,MTCH101,
7,U1,QFN-20-0.5mm-user,1,EFM8UB1xFxxG-QFN20,
8,U3,SOT-553,1,DF5A5.6JE,
9,C3,C_0402,1,4.7uF,
10,D1,LED_0402,1,LED_Small,
11,R1,R_0402,1,4K7,http://www.microtech-teltow.de
12,R2,R_0402,1,10K,http://www.microtech-teltow.de
13,R3,R_0402,1,100,http://www.microtech-teltow.de
